"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.43.92","172.253.115.103","TLSv1.2","93","Application Data"
"2","0.407058","192.168.43.92","40.126.24.81","TCP","66","3131  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"3","0.560424","192.168.43.92","172.253.115.103","TCP","93","[TCP Retransmission] 14727  >  443 [PSH, ACK] Seq=1 Ack=1 Win=253 Len=39"
"4","1.143392","192.168.43.92","172.253.115.103","TCP","93","[TCP Retransmission] 14727  >  443 [PSH, ACK] Seq=1 Ack=1 Win=253 Len=39"
"5","1.510185","172.253.115.103","192.168.43.92","TCP","66","443  >  14727 [ACK] Seq=40 Ack=40 Win=270 Len=0 SLE=1 SRE=40"
"6","1.550193","172.253.115.103","192.168.43.92","TCP","93","[TCP Retransmission] 443  >  14727 [PSH, ACK] Seq=1 Ack=40 Win=270 Len=39"
"7","1.591491","40.126.24.81","192.168.43.92","TCP","66","443  >  3131 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 WS=256 SACK_PERM"
"8","1.591597","192.168.43.92","40.126.24.81","TCP","54","3131  >  443 [ACK] Seq=1 Ack=1 Win=524800 Len=0"
"9","1.592106","192.168.43.92","172.253.115.103","TCP","54","14727  >  443 [ACK] Seq=40 Ack=40 Win=253 Len=0"
"10","1.596922","192.168.43.92","40.126.24.81","TLSv1.2","342","Client Hello"
"11","1.812902","192.168.43.92","40.126.24.81","TCP","342","[TCP Retransmission] 3131  >  443 [PSH, ACK] Seq=1 Ack=1 Win=524800 Len=288"
"12","2.113315","192.168.43.92","40.126.24.81","TCP","342","[TCP Retransmission] 3131  >  443 [PSH, ACK] Seq=1 Ack=1 Win=524800 Len=288"
"13","2.329546","40.126.24.81","192.168.43.92","TCP","66","[TCP Previous segment not captured] 443  >  3131 [ACK] Seq=3957 Ack=289 Win=4194048 Len=0 SLE=1 SRE=289"
"14","3.167039","IntelCor_97:c2:b9","Broadcast","ARP","42","Who has 192.168.43.209? Tell 192.168.43.92"
"15","3.173381","2a:f1:0d:f2:27:b4","IntelCor_97:c2:b9","ARP","42","192.168.43.209 is at 2a:f1:0d:f2:27:b4"
"16","3.181535","IntelCor_97:c2:b9","Broadcast","ARP","42","Who has 192.168.43.209? Tell 192.168.43.92"
"17","3.185874","2a:f1:0d:f2:27:b4","IntelCor_97:c2:b9","ARP","42","192.168.43.209 is at 2a:f1:0d:f2:27:b4"
"18","3.198934","192.168.43.92","192.168.43.209","DNS","76","Standard query 0xbe9a A dns.msftncsi.com"
"19","3.273402","192.168.43.209","192.168.43.92","DNS","318","Standard query response 0xbe9a A dns.msftncsi.com A 131.107.255.255 NS ns3-34.azure-dns.org NS ns1-34.azure-dns.com NS ns2-34.azure-dns.net NS ns4-34.azure-dns.info A 13.107.206.34 A 150.171.10.34 AAAA 2603:1061:0:10::22 A 150.171.16.34 A 13.107.222.34"
"20","4.893469","192.168.43.92","190.92.127.164","TLSv1.2","165","Application Data"
"21","4.941687","190.92.127.164","192.168.43.92","TCP","54","443  >  2324 [ACK] Seq=1 Ack=112 Win=35 Len=0"
"22","4.946382","190.92.127.164","192.168.43.92","TLSv1.2","773","Application Data"
"23","4.996984","192.168.43.92","190.92.127.164","TCP","54","2324  >  443 [ACK] Seq=112 Ack=720 Win=254 Len=0"
"24","4.999924","40.126.24.81","192.168.43.92","TCP","1454","[TCP Retransmission] 443  >  3131 [PSH, ACK] Seq=2557 Ack=289 Win=4194048 Len=1400"
"25","4.999967","192.168.43.92","40.126.24.81","TCP","66","[TCP Dup ACK 8#1] 3131  >  443 [ACK] Seq=289 Ack=1 Win=524800 Len=0 SLE=2557 SRE=3957"
